MBU,C4-GUJ-01,C4-GUJ-02,C4-SKT-03,C4-GRT-04,C4-NRW-05,C4-HFZ-06,C4-WZD-07,C4-MBD-08,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBU,C4-GUJ-01,C4-GUJ-02,C4-SKT-03,C4-GRT-04,C4-NRW-05,C4-HFZ-06,C4-WZD-07,C4-MBD-08,,,,,,,,,,,,,,,,,,,,,,,,
100% NAR in Jan,20,20,35,58,36,55,18,25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Count of Site Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-GRT-04,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-GUJ-01,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-GUJ-02,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-HFZ-06,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-MBD-08,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-NRW-05,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-SKT-03,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-WZD-07,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
