Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Average NAR,avrg
325,GUJ6260,GUJ6260_S_GMagnoliaPark,3,C4-GUJ-01,,E.Co,e.coPK018339PU,1,1,1,1,1,0.9980902777777778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9999045138888889,0.9999045138888889
326,GUJ6809,GUJ6809__S_UniversityOfKotli_CMPak43241,3,C4-GUJ-01,,CM Pak,43241,0.9321759259259259,0.9110532407407408,0.7961612654320989,0.9488425925925926,0.9380208333333333,0.9442322530864198,0.668599537037037,0.8408449074074074,0.9610146604938271,0.9416087962962963,0.9857831790123457,0.9443287037037037,0.8439699074074074,0.943287037037037,0.9133873456790124,0.9364621913580247,0.8794367283950617,0.9378472222222223,0.9317708333333333,0.9397569444444445,1,1,1,1,1,1,1,1,1,1,1,0.9069292052469136,0.9069292052469136
327,KMK4008,KMK4008__SalamatPura,3,C4-GUJ-01,30,Stand by,,0.8224228395061728,0.927662037037037,0.8143981481481481,0.8519560185185185,1,1,0.9968557098765433,1,1,1,0.9795524691358025,1,0.9893132716049383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.969108024691358,0.969108024691358
328,GUJ5105,GUJ5105__S_Jamal Market Warid_MDGJ4151,3,C4-GUJ-01,27,Stand by,,1,0.9686342592592593,0.9594521604938272,0.8767168209876544,0.9516203703703704,0.6331828703703704,0.9777469135802469,1,1,1,0.7774305555555556,1,0.7714891975308642,0.991087962962963,0.6534336419753086,1,1,1,1,0.9896026234567902,1,1,1,1,1,1,1,1,1,1,1,0.9275198688271604,0.9275198688271605
329,GUJ9730,GUJ9730__MozaMaufiwalaGujnwla,4,C4-GUJ-01,30,Stand by,,1,1,1,1,1,0.9933449074074074,1,1,1,0.9165104166666667,1,1,1,1,1,1,0.9895833333333334,1,1,0.9769560185185185,1,1,1,1,1,1,1,1,1,1,1,0.9938197337962963,0.9938197337962963
330,KMK8981,KMK8981__MohalaDarveshpura,3,C4-GUJ-01,20,Stand by,,1,1,1,1,1,0.9762538580246913,0.9405054012345679,1,0.9905092592592593,0.7381134259259259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9822690972222222,0.9822690972222222
331,GUJ8794,GUJ8794__S_SalimColony_CMPak6746,3,C4-GUJ-01,,CM Pak,6746,1,1,0.9424768518518518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9971238425925926,0.9971238425925926
332,GUJ5482,GUJ5482__S_MohafizTown,3,C4-GUJ-01,,Enfrashare,EC1-GUJ-02584,1,1,1,1,1,0.9538966049382716,0.9803626543209877,0.8054012345679012,1,1,1,1,1,1,1,1,0.6234452160493826,0.6670949074074075,0.9090625,0.9652083333333333,1,1,1,1,1,1,1,1,1,1,1,0.9452235725308642,0.9452235725308643
333,GUJ5922,GUJ5922_H_Abdullah Colony Gujranwala,3,C4-GUJ-01,,E.Co,e.coPK019604PU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
334,GUJ6267,GUJ6267__S_MasterCityHousingScheme,3,C4-GUJ-01,,Enfrashare,EC1-GUJ-02839,1,0.9954668209876543,0.9983989197530864,0.9633757716049383,1,1,1,1,0.9810185185185185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9969130015432098,0.9969130015432098
335,GUJ9437,GUJ9437__S_B3-wapda Town Warid_MDGJ4163,8,C4-GUJ-01,27,Stand by,,0.9940682870370371,0.9889829282407407,1,0.9937644675925926,0.9861689814814815,0.9831814236111112,0.9865668402777777,0.9948857060185186,0.9942346643518518,0.994386574074074,1,0.9854542824074074,0.9939771412037037,0.9966796875,0.9943214699074074,0.9239583333333333,0.9276490162037038,0.9939236111111112,0.9941767939814815,0.9890986689814815,1,1,1,1,1,1,1,1,1,1,1,0.9857739438657406,0.9857739438657407
336,GUJ5319,GUJ5319__S_JalilTown_CMPak40268,3,C4-GUJ-01,,CM Pak,40286,0.6218634259259264,0.9552083333333333,0.5502584876543211,0.8551774691358025,0.6284413580246913,0.6892438271604939,0.8403433641975309,0.9693518518518519,0.9757986111111111,0.7018171296296296,0.9956018518518519,0.6784722222222221,0.9859375,1,1,0.9306983024691358,0.6873341049382715,0.9743171296296297,0.7128086419753086,0.979320987654321,1,1,1,1,1,1,1,1,1,1,1,0.8365997299382716,0.8365997299382717
337,HWY5796,HWY5796_H_Itwaar bazar more_Eminabad More Gujranwala,3,C4-GUJ-01,,PTCL,GTRP2001,1,1,1,1,0.9210648148148148,1,1,0.944675925925926,1,1,1,0.9743055555555555,1,1,0.9454861111111111,0.9820216049382716,1,1,0.931616512345679,1,1,1,1,1,1,1,1,1,1,1,1,0.9849585262345679,0.9849585262345678
