Site Code,Site Name,Cells,New MBU,Priority,DG Rating,OMO,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,TDT,T-Fuel,Occurrence ,Total NAR,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,Fuel Total,MBU,OMO Host Name,Host ID,Type
SKT3352,SKT3352__SublimeChowk,3,C4-SKT-03,Elite,,,GLO,,,,,,,,,,,,,,,,,,,77.75000000000001,130.41666666666666,,,,,,,,,,,,,208.16666666666669,,2,0.997590663580247,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
STR4976,STR4976__DTESatrah,3,C4-NRW-05,Platinum,30,,,,45.24999999999999,,,41.91666666666667,92.25,46.716666666666654,29.816666666666663,,,163.08333333333334,20.5,18.666666666666668,,,,68,18.5,32.49999999999999,,14.75,,,,,,,,,,,,591.95,,12,0.9931487268518517,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
GUJ9415,GUJ9415__S_Sec Y-People Cnly Warid_GJ4731,3,C4-GUJ-01,Platinum,27,,,,,,,,,91.75,,,,,,127.08333333333334,1125.6000000000001,464.7999999999999,518.3166666666666,396.6666666666667,364.41666666666663,310.88333333333327,220.79999999999998,278.08333333333337,,,,,,,,,,,,3898.4,,10,0.9548796296296297,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
GUJ6461,GUJ6461__S_NawanPind,3,C4-HFZ-06,Platinum,,B2S,E.co,e.coPK019013PU,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,164,,1,0.9981018518518519,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-HFZ-06,,,Macro
JPB3533,JPB3533__MohallahMustfabad,3,C4-HFZ-06,Elite,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-HFZ-06,,,Macro
RUR5621,RUR5621__S_Lalwan,4,C4-NRW-05,Platinum,,B2S,Enfrashare,EC1-SKG-02046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
RUR9688,RUR9688__S_BHUDAL_PIND_MR2I3758,3,C4-SKT-03,Elite,,,GLO,,279.1666666666667,739.0333333333334,319.3833333333333,764.2833333333333,951.4333333333334,664.3833333333333,689.8833333333333,229.63333333333333,620.9833333333332,1017.3833333333333,542.35,1083.9833333333333,646.2666666666667,,,,,,,,,,,,,,,,,,,8548.166666666668,,13,0.9010628858024691,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
RUR3081,RUR3081_Offload RUR9651A,3,C4-NRW-05,Elite,30,,,,,,,,,,,,,,110.66666666666666,,,,15.583333333333332,,,,,,,,,,,,,,,,,126.24999999999999,,2,0.9985387731481481,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
RUR4663,RUR4663__GUJAddaQaziKot,3,C4-HFZ-06,Platinum,,,GLO,,,16,,,,,100.24999999999997,61.000000000000014,,,,,,,,,,,,,,,,,,,,,,,,177.25,,3,0.9979484953703703,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-HFZ-06,,,Macro
GUJ5482,GUJ5482__S_MohafizTown,3,C4-GUJ-01,Elite,,B2S,Enfrashare,EC1-GUJ-02584,,,,,,199.16666666666669,84.83333333333334,840.6666666666667,,,,,,,,,1626.7166666666667,1438.1499999999996,392.85000000000014,150.29999999999998,,,,,,,,,,,,4732.683333333333,,7,0.9452235725308643,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
