Code,Vendor,BSC,Site,Sector,Occurring,Clearing,DT,SiteType,Priority,Type,Region,Sub-Region,Comm_Region,OSV,Proposed Region,Zone,MBU#,RBU,hour,minute,SiteCode,NoofCells,Outage Level,SITE,OCC,CLR,ALARM,Corelation Reason,Reason Category,Detailed Category,General,Reasons,Deodar/NonDeodar,,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 17:56:55,2026-08-01 18:27:20,30.41666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,17,56,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 19:29:15,2026-08-01 19:59:15,30,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,19,29,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 20:13:25,2026-08-01 21:11:35,58.16666666666666,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,20,13,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 21:13:10,2026-08-01 21:15:00,1.833333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,21,13,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 21:45:35,2026-08-01 22:09:55,24.33333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,21,45,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 21:45:35,2026-08-01 22:09:55,24.33333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,21,45,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC16522__S_NearSaidNagar,2026-08-01 21:45:35,2026-08-01 22:10:00,24.41666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,21,45,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 22:23:45,2026-08-01 22:56:40,32.91666666666666,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,22,23,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 23:02:05,2026-08-01 23:13:05,11,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,23,2,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 23:22:05,2026-08-01 23:33:05,11,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,23,22,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC16522__S_NearSaidNagar,2026-08-01 23:38:20,2026-08-01 23:59:59,21.65,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,23,38,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 23:38:20,2026-08-01 23:59:59,21.65,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,23,38,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 23:38:20,2026-08-01 23:59:59,21.65,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,23,38,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC19648__S_MuhallaHaiderabad,2026-08-01 00:17:50,2026-08-01 00:22:55,5.083333333333333,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,0,17,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC29648__S_MuhallaHaiderabad,2026-08-01 00:17:50,2026-08-01 00:22:55,5.083333333333333,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,0,17,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC39648__S_MuhallaHaiderabad,2026-08-01 00:17:50,2026-08-01 00:22:55,5.083333333333333,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,0,17,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC19648__S_MuhallaHaiderabad,2026-08-01 03:19:45,2026-08-01 03:25:05,5.333333333333333,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,19,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC39648__S_MuhallaHaiderabad,2026-08-01 03:19:50,2026-08-01 03:25:00,5.166666666666667,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,19,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC29648__S_MuhallaHaiderabad,2026-08-01 03:19:50,2026-08-01 03:25:05,5.25,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,19,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC39648__S_MuhallaHaiderabad,2026-08-01 03:28:25,2026-08-01 03:33:30,5.083333333333333,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,28,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC29648__S_MuhallaHaiderabad,2026-08-01 03:28:25,2026-08-01 03:33:30,5.083333333333333,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,28,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
ALC9648,Huawei,GUJ006H__Pindibypass_6,ALC9648__S_MuhallaHaiderabad,ALC19648__S_MuhallaHaiderabad,2026-08-01 03:28:25,2026-08-01 03:33:30,5.083333333333333,Platinum,Platinum,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,3,28,ALC9648,3,Site,,,,,,Zero or Low Battery Backup,Power,Power,BB Zero,Deodar,BB ZERO,,
