Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,January TDT,January NAR,February TDT,February NAR,March TDT,March NAR,April TDT,April NAR,May TDT,May NAR,June TDT,June NAR,July TDT,July NAR,August TDT,August NAR,September TDT,September NAR,October TDT,October NAR,Nov TDT,Nov NAR,Dec TDT,Dec NAR,Jan 2026 TDT,Jan NAR,Feb 2026 TDT,Feb NAR,Mar 2026 TDT,Mar NAR,April 2026 TDT,April NAR,May 2026 TDT,May NAR,June 2026 TDT,June NAR 2026,Jul 2026 TDT,Jul NAR 2026
11,DNG6475,DNG6475__S_Bhalesranwala,3,C4-MBD-08,,E.co,e.coPK019002PU,3705.7833333333333,0.9714059927983538,3299.5333333333338,0.9745406378600824,1467.5833333333335,0.9886760545267489,4118.433333333333,0.9682219650205761,8633.45,0.9333838734567901,2306.5833333333335,0.9822022890946502,1021.5000000000001,0.9921180555555555,4214.616666666667,0.9685288480684986,4621.5666666666675,0.9643397633744856,1314.4499999999998,0.9898576388888888,5345.883333333333,0.9541676668952904,3557.633333333334,0.9734346375945839,12144.016666666668,0.9093188719633613,1640.8666666666663,0.9864346340388007,2210.0833333333335,0.9834969882516925,12763.300000000001,0.9015177469135803,11296.550000000001,0.9156470280764636,3954.7333333333336,0.9694850823045268,8306.233333333332,0.9379761549183593
12,SKT6059,SKT6059__S_AjmalGardenNursery,3,C4-SKT-03,,E.co,e.coPK015662PU,2569.883333333333,0.9801706532921811,194.08333333333331,0.9985024434156378,1581.4999999999998,0.9877970679012346,637.6666666666666,0.995079732510288,2562.333333333333,0.9802289094650206,3734.5333333333338,0.9711841563786008,159.08333333333331,0.9987725051440328,7716.183333333333,0.9423821435682994,22010.16666666666,0.8301684670781893,1083.0166666666664,0.9916433899176955,1203.1499999999999,0.989684927983539,93,0.9993055555555556,2476.3,0.981509109916368,287.6666666666667,0.99762180335097,1132,0.991547192353644,4404.05,0.9660181327160494,4756.5666666666675,0.9644820290720828,991.7500000000001,0.9923476080246914,5053.966666666668,0.9622613002787733
13,HMP9711,HMP9711__Hameedpur_Khurd,3,C4-GUJ-01,27,,,3213.333333333333,0.9752057613168725,1037,0.9919984567901234,737.7499999999999,0.9943074845679013,5669.166666666667,0.9562564300411523,5832.9,0.9549930555555555,1544.1666666666665,0.988085133744856,5179.799999999999,0.9600324074074074,1408.9166666658127,0.9894794155714918,1372.783333333333,0.9894075360082304,1768.9833333333333,0.9863504372427984,1132.1666666666667,0.9902934956561499,1708.3,0.9872438769414577,6049.883333333333,0.9548246465551573,2948.0666666666666,0.9756277557319224,1958.8833333333337,0.985372734966149,4465.933333333333,0.9655406378600823,3161.5833333333335,0.9763920001991238,7163.083333333333,0.9447292952674897,12971.63333333985,0.9031389386698039
14,NRW1234,NRW1234__Mangwal,3,C4-NRW-05,,UFONE,CI-1308,74.75000000000001,0.999423225308642,2375.5333333333338,0.981670267489712,27,0.9997916666666667,136.5,0.9989467592592592,7509.866666666666,0.9420534979423869,4035.9166666666665,0.9688586676954732,108.83333333333334,0.9991602366255143,2743.7,0.979512395459976,3980.1666666666665,0.9692888374485596,694.0833333333333,0.9946444187242798,199,0.9982938957475994,0,1,304.83333333333326,0.9977237654320987,0,1,1004.3,0.9925007467144564,5076.083333333334,0.960832690329218,10635.7,0.9205816905615292,2810.2166666666667,0.9783162294238683,61.08333333333334,0.999543881919554
15,RUR5507,RUR5507__S_AdalGarh,3,C4-GUJ-02,,E.Co,e.coPK001038PU,1478.3833333333334,0.9885927211934157,776.3833333333333,0.9940093878600823,806.7333333333333,0.9937752057613168,0,1,1989.2833333333333,0.984650591563786,127.66666666666667,0.9990149176954732,3129.666666666667,0.9758513374485597,968.6999999999999,0.9927665770609319,0,1,524.3333333333333,0.9959542181069959,0,1,0,1,14.5,0.9998917264038232,0,1,1512.1999999999998,0.9887081839904421,9.75,0.9999247685185185,1886.4166666666667,0.9859138540422143,306.66666666666663,0.9976337448559671,12590.516666666665,0.9059847919155715
16,RUR0363,RUR0363__MansoorWaliPI_NEW,3,C4-WZD-07,,GLO,,1561.6000000000004,0.9879506172839505,2417.9666666666667,0.9813428497942387,527.5,0.9959297839506174,3457.483333333333,0.9733218878600823,2933.133333333333,0.9773677983539095,2398.8833333333337,0.9814900977366255,8381.433333333332,0.9353284465020576,2854.4333333333334,0.9786855336519316,4340.966666666666,0.9665048868312758,629.3333333333334,0.9951440329218108,250.41666666666669,0.9978530807041609,104.83333333333331,0.9992171943448825,3830.9833333333318,0.9713934936280367,1860.2500000000014,0.984620949074074,149.25,0.9988855286738351,3310.55,0.9744556327160494,396.1666666666667,0.9970417662285942,7264.983333333333,0.9439430298353909,2364.2000000000003,0.9823461768219833
17,GUJ5479,GUJ5479__S_AllahRakhaTown_CMPak_5624,3,C4-GUJ-01,,CMPak,5624,5446.166666666667,0.9579771090534979,2236.1666666666665,0.9827456275720166,1.833333333333333,0.999985853909465,293.0833333333333,0.997738554526749,4468.733333333334,0.9655190329218106,585.25,0.9954841820987654,0,1,6979.783333333334,0.9478809488251693,864.6833333333334,0.9933280606995885,22140.849999999995,0.8291601080246914,7458.2,0.9360579561042525,947.1666666666665,0.992927369573875,24821.083333333332,0.8146573825169255,3774.733333333333,0.968793540564374,1674.75,0.987494399641577,329.25,0.9974594907407408,1431.8000000000002,0.9893085424133811,2338.8499999999995,0.9819533179012346,3444.7666666666664,0.9742774293110315
18,RUR3204,RUR3204__Giddin,3,C4-NRW-05,,Telenor,LBDR02,7830.366666666665,0.9395805041152263,5914.033333333333,0.9543670267489712,873.5166666666667,0.9932599022633746,2632.75,0.9796855709876543,10526.066666666668,0.9187803497942387,4566.616666666667,0.9647637602880659,19543.683333333334,0.8491999742798353,9635.0499999986,0.9280536887694251,14176.166666666668,0.8906159979423869,9436.5,0.9271875,6926.799999999999,0.9406138545953361,8772.550000000001,0.9344941009557945,19874.199999999997,0.8515964755077658,6590.3,0.9455166997354497,8280.15,0.9381709229390681,16961.88333333333,0.8691212705761316,6474.9,0.9516509856630825,12167.799999999997,0.9061126543209876,20141.533333332634,0.8496002588610168
19,AKD2954,AKD2954__Amrakhurd,3,C4-MBD-08,,,,0,1,14.5,0.9998881172839507,0,1,0,1,607.25,0.9953144290123457,225.49999999999997,0.9982600308641975,2664.6833333333334,0.9794391718106996,138.6666666797052,0.9989645559537059,1490.3333333333333,0.9885005144032922,0,1,1309.1666666666667,0.9887760059442158,0,1,413.25,0.9969142025089606,0,1,0,1,852.5,0.9934220679012346,153.25,0.9988556600955795,273.83333333333337,0.9978870884773663,9.25,0.9999309289127838
20,SKG0252,SKG0252_ShrkGrh_Bypass,3,C4-NRW-05,,Ufone,3485,162.68333333333334,0.9987447273662552,110.33333333333334,0.9991486625514403,173.08333333333331,0.9986644804526749,239.08333333333337,0.9981552211934157,1181.8333333333335,0.9908809156378601,820.0833333333333,0.9936721965020575,1370.2499999999998,0.9894270833333333,7028.066666667055,0.9475204101951386,420.68333333333334,0.9967539866255144,829.8333333333334,0.9935969650205762,821.25,0.9929591049382717,1279.5,0.990445788530466,1803.9666666666672,0.9865295201115093,780.9166666666666,0.9935440090388008,2391.8999999999996,0.9821393369175627,1140.1499999999999,0.9912025462962962,3921.016666666667,0.9707212017124651,3083.883333333333,0.9762046039094651,1101.85,0.991772326762246
