SiteCode,Site Name,NoofCells,(2G/3G),Priority,Type,Category,MBU#,OMO Colocation,OMO host name ,DG site,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Frequency,4G NAR
RUR6300,RUR6300__S_Abdal,6,2G/LTE,Gold,Macro,B2S,C4-GUJ-01,E.Co,E.CO,Non DG Site,100,100,92.118055555555,100,100,100,86.785300925925,94.64699074074,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,3,98.677517361111
GUJ3742,GUJ3742__P_HafizPlaza,18,2G/3G/LTE,Hub,Macro,Standby,C4-GUJ-01,JAZZ,DEODAR,DG site,99.978459362139,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,1,99.99892296810694
GUJ5226,GUJ5226__T_Imtiaz Store King Mall,2,2G/LTE,Bronze,Micro,Jazz CP Prime,C4-GUJ-01,JAZZ,JAZZ,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.997106481481,100,,,,,,,,,,,,1,99.99985532407405
GUJ8945,GUJ8945__S_WahdatColony,9,2G/3G/LTE,Platinum,Macro,Standby,C4-GUJ-01,JAZZ,DEODAR,DG site,100,96.948945473251,100,100,100,99.009130658436,100,100,100,100,100,100,100,100,100,100,100,98.849022633744,100,100,,,,,,,,,,,,3,99.74035493827155
GUJ3340,GUJ3340__H_LohewalaBazar,12,2G/3G/LTE,Elite,Macro,Standby,C4-GUJ-02,JAZZ,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,99.488811728395,100,100,100,100,100,99.997685185185,100,,,,,,,,,,,,2,99.97432484567899
GUJ9407,GUJ9407__S_Usman Gill Cnly Warid_GJ4152,12,2G/3G/LTE,Hub,Macro,Standby,C4-GUJ-01,JAZZ,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.995659722222,100,,,,,,,,,,,,1,99.9997829861111
GUJ3342,GUJ3342__H_Chowkniayen,9,2G/3G/LTE,Hub,Macro,Standby,C4-GUJ-02,JAZZ,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
GUJ9443,GUJ9443__S_SultanpuraWarid_MDGJ3916,12,2G/3G/LTE,Elite,Macro,OMO,C4-GUJ-02,Jazz Guest/UFONE Host,UFONE,Non DG Site,84.027777777777,37.548707561728,91.666666666666,91.666666666666,91.666666666666,94.599729938271,100,100,100,100,100,100,100,100,100,100,100,100,99.992766203703,100,,,,,,,,,,,,7,94.55844907407385
GUJ9511,GUJ9511__S_Gujranawala cantt_GJ4207,12,2G/3G/LTE,Platinum,Macro,Standby,C4-GUJ-02,Jazz Host/TELENOR Guest,DEODAR,DG site,91.666666666666,91.05324074074,85.975597993827,93.491512345679,100,90.374710648148,95.264756944444,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,6,97.3913242669752
GUJ9454,GUJ9454__S_OPP Jinah Park Warid_MDGJ4224,9,2G/3G/LTE,Platinum,Macro,Standby,C4-GUJ-01,Jazz Host/TELENOR Guest,DEODAR,DG site,100,100,77.076903292181,100,76.072530864197,100,88.115997942386,100,100,68.009902263374,100,73.08320473251,100,100,100,100,74.097222222222,100,77.366898148148,100,,,,,,,,,,,,7,91.6911329732509
